id,first_name,last_name,middle_name,state,party
A000370,Alma,Adams,,NC,D
A000055,Robert,Aderholt,B.,AL,R
A000367,Justin,Amash,,MI,R
A000369,Mark,Amodei,,NV,R
B001269,Lou,Barletta,,PA,R
B001282,Andy,Barr,,KY,R
B000213,Joe,Barton,L.,TX,R
B001270,Karen,Bass,,CA,D
B001281,Joyce,Beatty,,OH,D
B001287,Ami,Bera,,CA,D
B001257,Gus,Bilirakis,,FL,R
B001250,Rob,Bishop,,UT,R
B000490,Sanford,Bishop,D.,GA,D
B001273,Diane,Black,,TN,R
B001243,Marsha,Blackburn,,TN,R
B000574,Earl,Blumenauer,,OR,D
B001278,Suzanne,Bonamici,,OR,D
B001245,Madeleine,Bordallo,Z.,GU,D
B001227,Robert,Brady,A.,PA,D
B000755,Kevin,Brady,,TX,R
B001290,David,Brat,A.,VA,R
B001283,Jim,Bridenstine,,OK,R
B001284,Susan,Brooks,,IN,R
B001274,Mo,Brooks,,AL,R
B001285,Julia,Brownley,,CA,D
B001260,Vern,Buchanan,,FL,R
B001275,Larry,Bucshon,,IN,R
B001248,Michael,Burgess,C.,TX,R
B001286,Cheri,Bustos,,IL,D
B001251,G.,Butterfield,K.,NC,D
B001289,Bradley,Byrne,,AL,R
C000059,Ken,Calvert,,CA,R
C001047,Shelley,Capito,Moore,WV,R
C001037,Michael,Capuano,E.,MA,D
C001097,Tony,Cárdenas,,CA,D
C001072,André,Carson,,IN,D
C001051,John,Carter,,TX,R
C001090,Matt,Cartwright,,PA,D
C001075,Bill,Cassidy,,LA,R
C001066,Kathy,Castor,,FL,D
C001091,Joaquín,Castro,,TX,D
C000266,Steven,Chabot,J.,OH,R
C001080,Judy,Chu,,CA,D
C001084,David,Cicilline,,RI,D
C001101,Katherine,Clark,,MA,D
C001067,Yvette,Clarke,D.,NY,D
C001049,William,Clay,Lacy,MO,D
C001061,Emanuel,Cleaver,,MO,D
C000537,James,Clyburn,E.,SC,D
C001077,Mike,Coffman,,CO,R
C001068,Steve,Cohen,,TN,D
C001053,Tom,Cole,,OK,R
C001092,Chris,Collins,,NY,R
C001093,Doug,Collins,,GA,R
C001062,K.,Conaway,Michael,TX,R
C001078,Gerald,Connolly,E.,VA,D
C001094,Paul,Cook,,CA,R
C000754,Jim,Cooper,,TN,D
C001059,Jim,Costa,,CA,D
C001095,Tom,Cotton,,AR,R
C001069,Joe,Courtney,,CT,D
C001096,Kevin,Cramer,,ND,R
C001087,Rick,Crawford,,AR,R
C001038,Joseph,Crowley,,NY,D
C001063,Henry,Cuellar,,TX,D
C001048,John,Culberson,,TX,R
C000984,Elijah,Cummings,E.,MD,D
D000618,Steve,Daines,,MT,R
D000096,Danny,Davis,K.,IL,D
D000619,Rodney,Davis,,IL,R
D000598,Susan,Davis,A.,CA,D
D000191,Peter,DeFazio,A.,OR,D
D000197,Diana,DeGette,,CO,D
D000620,John,Delaney,,MD,D
D000216,Rosa,DeLauro,,CT,D
D000617,Suzan,DelBene,K.,WA,D
D000612,Jeffrey,Denham,,CA,R
D000604,Charlie,Dent,,PA,R
D000621,Ron,DeSantis,,FL,R
D000616,Scott,DesJarlais,,TN,R
D000610,Ted,Deutch,,FL,D
D000600,Mario,Diaz-Balart,,FL,R
D000399,Lloyd,Doggett,,TX,D
D000482,Mike,Doyle,,PA,D
D000622,Tammy,Duckworth,,IL,D
D000614,Sean,Duffy,,WI,R
D000533,John,Duncan,J.,TN,R
D000615,Jeffrey,Duncan,,SC,R
E000288,Keith,Ellison,,MN,D
E000179,Eliot,Engel,L.,NY,D
E000215,Anna,Eshoo,G.,CA,D
E000293,Elizabeth,Esty,,CT,D
F000460,Blake,Farenthold,,TX,R
F000459,Chuck,Fleischmann,,TN,R
F000461,Bill,Flores,,TX,R
F000449,Jeff,Fortenberry,,NE,R
F000454,Bill,Foster,,IL,D
F000450,Virginia,Foxx,,NC,R
F000462,Lois,Frankel,,FL,D
F000372,Rodney,Frelinghuysen,,NJ,R
F000455,Marcia,Fudge,L.,OH,D
G000571,Tulsi,Gabbard,,HI,D
G000559,John,Garamendi,,CA,D
G000562,Cory,Gardner,,CO,R
G000563,Bob,Gibbs,,OH,R
G000552,Louie,Gohmert,,TX,R
G000289,Robert,Goodlatte,W.,VA,R
G000565,Paul,Gosar,,AZ,R
G000566,Trey,Gowdy,,SC,R
G000377,Kay,Granger,,TX,R
G000546,Sam,Graves,,MO,R
G000560,Tom,Graves,,GA,R
G000410,Gene,Green,,TX,D
G000553,Al,Green,,TX,D
G000568,Morgan,Griffith,,VA,R
G000551,Raúl,Grijalva,M.,AZ,D
G000558,Brett,Guthrie,,KY,R
G000535,Luis,Gutiérrez,V.,IL,D
H001050,Colleen,Hanabusa,,HI,D
H001045,Gregg,Harper,,MS,R
H001052,Andy,Harris,,MD,R
H001053,Vicky,Hartzler,,MO,R
H000324,Alcee,Hastings,L.,FL,D
H001064,Denny,Heck,,WA,D
H001036,Jeb,Hensarling,,TX,R
H001056,Jaime,Herrera Beutler,,WA,R
H001038,Brian,Higgins,,NY,D
H001047,Jim,Himes,,CT,D
H001065,George,Holding,,NC,R
H000874,Steny,Hoyer,H.,MD,D
H001067,Richard,Hudson,,NC,R
H001068,Jared,Huffman,,CA,D
H001058,Bill,Huizenga,,MI,R
H001059,Randy,Hultgren,,IL,R
H001048,Duncan,Hunter,D.,CA,R
I000056,Darrell,Issa,,CA,R
J000032,Sheila,Jackson Lee,,TX,D
J000294,Hakeem,Jeffries,,NY,D
J000290,Lynn,Jenkins,,KS,R
J000292,Bill,Johnson,,OH,R
J000288,Hank,Johnson,,GA,D
J000126,Eddie,Johnson,Bernice,TX,D
J000174,Sam,Johnson,,TX,R
J000255,Walter,Jones,B.,NC,R
J000289,Jim,Jordan,,OH,R
J000295,Dave,Joyce,,OH,R
K000009,Marcy,Kaptur,,OH,D
K000375,Bill,Keating,,MA,D
K000385,Robin,Kelly,,IL,D
K000376,Mike,Kelly,,PA,R
K000379,Joseph,Kennedy,P.,MA,D
K000380,Dan,Kildee,,MI,D
K000381,Derek,Kilmer,,WA,D
K000188,Ron,Kind,,WI,D
K000210,Peter,King,T.,NY,R
K000362,Steve,King,,IA,R
K000378,Adam,Kinzinger,,IL,R
K000382,Ann,Kuster,McLane,NH,D
L000573,Raúl,Labrador,,ID,R
L000578,Doug,LaMalfa,,CA,R
L000564,Doug,Lamborn,,CO,R
L000567,Leonard,Lance,,NJ,R
L000559,Jim,Langevin,,RI,D
L000575,James,Lankford,,OK,R
L000560,Rick,Larsen,,WA,D
L000557,John,Larson,B.,CT,D
L000566,Robert,Latta,E.,OH,R
L000551,Barbara,Lee,,CA,D
L000263,Sander,Levin,M.,MI,D
L000287,John,Lewis,,GA,D
L000563,Daniel,Lipinski,,IL,D
L000554,Frank,LoBiondo,A.,NJ,R
L000565,Dave,Loebsack,,IA,D
L000397,Zoe,Lofgren,,CA,D
L000576,Billy,Long,,MO,R
L000579,Alan,Lowenthal,,CA,D
L000480,Nita,Lowey,M.,NY,D
L000491,Frank,Lucas,D.,OK,R
L000569,Blaine,Luetkemeyer,,MO,R
L000570,Ben,Luján,Ray,NM,D
L000580,Michelle,Lujan Grisham,,NM,D
L000562,Stephen,Lynch,F.,MA,D
M001185,Sean,Maloney,Patrick,NY,D
M000087,Carolyn,Maloney,B.,NY,D
M001158,Kenny,Marchant,,TX,R
M001179,Tom,Marino,,PA,R
M000133,Edward,Markey,J.,MA,D
M001184,Thomas,Massie,,KY,R
M001163,Doris,Matsui,,CA,D
M001165,Kevin,McCarthy,,CA,R
M001157,Michael,McCaul,,TX,R
M001177,Tom,McClintock,,CA,R
M001143,Betty,McCollum,,MN,D
M000312,Jim,McGovern,,MA,D
M001156,Patrick,McHenry,T.,NC,R
M001180,David,McKinley,,WV,R
M001159,Cathy,McMorris Rodgers,,WA,R
M001166,Jerry,McNerney,,CA,D
M001187,Mark,Meadows,,NC,R
M001181,Pat,Meehan,,PA,R
M001137,Gregory,Meeks,W.,NY,D
M001188,Grace,Meng,,NY,D
M001189,Luke,Messer,,IN,R
M001160,Gwen,Moore,,WI,D
M001190,Markwayne,Mullin,,OK,R
N000002,Jerrold,Nadler,,NY,D
N000179,Grace,Napolitano,F.,CA,D
N000015,Richard,Neal,E.,MA,D
N000184,Kristi,Noem,,SD,R
N000127,Rick,Nolan,,MN,D
N000188,Donald,Norcross,W.,NJ,D
N000147,Eleanor,Norton,Holmes,DC,D
N000181,Devin,Nunes,,CA,R
O000170,Beto,O'Rourke,,TX,D
O000168,Pete,Olson,,TX,R
P000601,Steven,Palazzo,,MS,R
P000034,Frank,Pallone,,NJ,D
P000096,Bill,Pascrell,,NJ,D
P000594,Erik,Paulsen,,MN,R
P000604,Donald,Payne,M.,NJ,D
P000588,Steve,Pearce,,NM,R
P000197,Nancy,Pelosi,,CA,D
P000593,Ed,Perlmutter,,CO,D
P000605,Scott,Perry,,PA,R
P000595,Gary,Peters,,MI,D
P000608,Scott,Peters,,CA,D
P000258,Collin,Peterson,C.,MN,D
P000597,Chellie,Pingree,,ME,D
P000606,Robert,Pittenger,,NC,R
P000607,Mark,Pocan,,WI,D
P000592,Ted,Poe,,TX,R
P000598,Jared,Polis,,CO,D
P000599,Bill,Posey,,FL,R
P000523,David,Price,E.,NC,D
Q000023,Mike,Quigley,,IL,D
R000585,Tom,Reed,,NY,R
R000578,Dave,Reichert,,WA,R
R000586,Jim,Renacci,,OH,R
R000597,Tom,Rice,,SC,R
R000588,Cedric,Richmond,,LA,D
R000591,Martha,Roby,,AL,R
R000582,Phil,Roe,,TN,R
R000575,Mike,Rogers,D.,AL,R
R000395,Harold,Rogers,,KY,R
R000409,Dana,Rohrabacher,,CA,R
R000592,Todd,Rokita,,IN,R
R000583,Tom,Rooney,,FL,R
R000435,Ileana,Ros-Lehtinen,,FL,R
R000580,Peter,Roskam,,IL,R
R000593,Dennis,Ross,,FL,R
R000598,Keith,Rothfus,,PA,R
R000486,Lucille,Roybal-Allard,,CA,D
R000487,Edward,Royce,,CA,R
R000599,Raul,Ruiz,,CA,D
R000576,C.A. Dutch,Ruppersberger,,MD,D
R000515,Bobby,Rush,L.,IL,D
R000570,Paul,Ryan,D.,WI,R
R000577,Tim,Ryan,,OH,D
S001177,Gregorio,Sablan,Kilili Camacho,MP,D
S001156,Linda,Sánchez,T.,CA,D
S000051,Mark,Sanford,,SC,R
S001168,John,Sarbanes,,MD,D
S001176,Steve,Scalise,,LA,R
S001145,Jan,Schakowsky,,IL,D
S001150,Adam,Schiff,B.,CA,D
S001190,Brad,Schneider,,IL,D
S001180,Kurt,Schrader,,OR,D
S001183,David,Schweikert,,AZ,R
S001157,David,Scott,,GA,D
S000185,Robert,Scott,C.,VA,D
S001189,Austin,Scott,,GA,R
S000244,F.,Sensenbrenner,James,WI,R
S000248,José,Serrano,E.,NY,D
S000250,Pete,Sessions,,TX,R
S001185,Terri,Sewell,,AL,D
S001170,Carol,Shea-Porter,,NH,D
S000344,Brad,Sherman,,CA,D
S000364,John,Shimkus,,IL,R
S001154,Bill,Shuster,,PA,R
S001148,Mike,Simpson,,ID,R
S001191,Kyrsten,Sinema,,AZ,D
S001165,Albio,Sires,,NJ,D
S000480,Louise,Slaughter,M.,NY,D
S001195,Jason,Smith,,MO,R
S000510,Adam,Smith,,WA,D
S000583,Lamar,Smith,,TX,R
S001172,Adrian,Smith,,NE,R
S000522,Christopher,Smith,H.,NJ,R
S001175,Jackie,Speier,,CA,D
S001192,Chris,Stewart,,UT,R
S001187,Steve,Stivers,,OH,R
S001193,Eric,Swalwell,,CA,D
T000472,Mark,Takano,,CA,D
T000193,Bennie,Thompson,,MS,D
T000467,Glenn,Thompson,,PA,R
T000460,Mike,Thompson,,CA,D
T000238,William,Thornberry,M.,TX,R
T000470,Scott,Tipton,,CO,R
T000468,Dina,Titus,,NV,D
T000469,Paul,Tonko,,NY,D
T000465,Niki,Tsongas,,MA,D
T000463,Michael,Turner,R.,OH,R
U000031,Fred,Upton,,MI,R
V000129,David,Valadao,,CA,R
V000128,Chris,Van Hollen,,MD,D
V000130,Juan,Vargas,,CA,D
V000131,Marc,Veasey,,TX,D
V000132,Filemon,Vela,,TX,D
V000081,Nydia,Velázquez,M.,NY,D
V000108,Peter,Visclosky,J.,IN,D
W000812,Ann,Wagner,,MO,R
W000798,Tim,Walberg,,MI,R
W000791,Greg,Walden,,OR,R
W000813,Jackie,Walorski,,IN,R
W000799,Tim,Walz,,MN,D
W000797,Debbie,Wasserman Schultz,,FL,D
W000187,Maxine,Waters,,CA,D
W000814,Randy,Weber,,TX,R
W000806,Daniel,Webster,,FL,R
W000800,Peter,Welch,,VT,D
W000815,Brad,Wenstrup,,OH,R
W000816,Roger,Williams,,TX,R
W000808,Frederica,Wilson,,FL,D
W000795,Joe,Wilson,,SC,R
W000804,Robert,Wittman,J.,VA,R
W000809,Steve,Womack,,AR,R
W000810,Rob,Woodall,,GA,R
Y000062,John,Yarmuth,,KY,D
Y000063,Kevin,Yoder,,KS,R
Y000065,Ted,Yoho,,FL,R
Y000064,Todd,Young,,IN,R
Y000033,Don,Young,,AK,R
A000360,Lamar,Alexander,,TN,R
B001230,Tammy,Baldwin,,WI,D
B001261,John,Barrasso,,WY,R
B001267,Michael,Bennet,,CO,D
B001277,Richard,Blumenthal,,CT,D
B000575,Roy,Blunt,,MO,R
B001288,Cory,Booker,,NJ,D
B001236,John,Boozman,,AR,R
B000944,Sherrod,Brown,,OH,D
B001135,Richard,Burr,M.,NC,R
C000127,Maria,Cantwell,,WA,D
C000141,Benjamin,Cardin,L.,MD,D
C000174,Thomas,Carper,R.,DE,D
C001070,Bob,Casey,,PA,D
C000567,Thad,Cochran,,MS,R
C001035,Susan,Collins,,ME,R
C001088,Christopher,Coons,A.,DE,D
C001071,Bob,Corker,,TN,R
C001056,John,Cornyn,,TX,R
C000880,Michael,Crapo,D.,ID,R
C001098,Ted,Cruz,,TX,R
D000607,Joe,Donnelly,,IN,D
D000563,Richard,Durbin,J.,IL,D
E000285,Michael,Enzi,B.,WY,R
F000062,Dianne,Feinstein,,CA,D
F000463,Deb,Fischer,,NE,R
F000444,Jeff,Flake,,AZ,R
G000555,Kirsten,Gillibrand,E.,NY,D
G000359,Lindsey,Graham,,SC,R
G000386,Charles,Grassley,E.,IA,R
H000338,Orrin,Hatch,G.,UT,R
H001046,Martin,Heinrich,,NM,D
H001069,Heidi,Heitkamp,,ND,D
H001041,Dean,Heller,,NV,R
H001042,Mazie,Hirono,K.,HI,D
H001061,John,Hoeven,,ND,R
I000024,James,Inhofe,M.,OK,R
I000055,Johnny,Isakson,,GA,R
J000293,Ron,Johnson,,WI,R
K000384,Tim,Kaine,,VA,D
K000383,Angus,King,,ME,I
K000367,Amy,Klobuchar,,MN,D
L000174,Patrick,Leahy,J.,VT,D
L000577,Mike,Lee,,UT,R
M001183,Joe,Manchin,,WV,D
M000303,John,McCain,,AZ,R
M001170,Claire,McCaskill,,MO,D
M000355,Mitch,McConnell,,KY,R
M000639,Robert,Menendez,,NJ,D
M001176,Jeff,Merkley,,OR,D
M000934,Jerry,Moran,,KS,R
M001153,Lisa,Murkowski,,AK,R
M001169,Christopher,Murphy,S.,CT,D
M001111,Patty,Murray,,WA,D
N000032,Bill,Nelson,,FL,D
P000603,Rand,Paul,,KY,R
P000449,Rob,Portman,,OH,R
R000122,Jack,Reed,,RI,D
R000584,Jim,Risch,,ID,R
R000307,Pat,Roberts,,KS,R
R000595,Marco,Rubio,,FL,R
S000033,Bernard,Sanders,,VT,I
S001194,Brian,Schatz,,HI,D
S000148,Charles,Schumer,E.,NY,D
S001184,Tim,Scott,,SC,R
S001181,Jeanne,Shaheen,,NH,D
S000320,Richard,Shelby,C.,AL,R
S000770,Debbie,Stabenow,,MI,D
T000464,Jon,Tester,,MT,D
T000250,John,Thune,,SD,R
T000461,Patrick,Toomey,J.,PA,R
U000039,Tom,Udall,,NM,D
W000805,Mark,Warner,,VA,D
W000817,Elizabeth,Warren,,MA,D
W000802,Sheldon,Whitehouse,,RI,D
W000437,Roger,Wicker,,MS,R
W000779,Ron,Wyden,,OR,D
A000374,Ralph,Abraham,,LA,R
A000371,Pete,Aguilar,,CA,D
A000372,Rick,Allen,,GA,R
B001291,Brian,Babin,,TX,R
B001292,Donald,Beyer,,VA,D
B001293,Mike,Bishop,,MI,R
B001294,Rod,Blum,,IA,R
B001295,Mike,Bost,,IL,R
B001296,Brendan,Boyle,,PA,D
B001297,Ken,Buck,,CO,R
C001103,Buddy,Carter,,GA,R
C001108,James,Comer,,KY,R
C001105,Barbara,Comstock,,VA,R
C001106,Ryan,Costello,,PA,R
C001107,Carlos,Curbelo,,FL,R
D000626,Warren,Davidson,,OH,R
D000623,Mark,DeSaulnier,,CA,D
D000624,Debbie,Dingell,,MI,D
D000625,Daniel,Donovan,M.,NY,R
E000294,Tom,Emmer,,MN,R
E000296,Dwight,Evans,,PA,D
G000574,Ruben,Gallego,,AZ,D
G000577,Garret,Graves,,LA,R
G000576,Glenn,Grothman,,WI,R
H001071,Jody,Hice,,GA,R
H001072,French,Hill,,AR,R
H001073,Will,Hurd,,TX,R
J000297,Evan,Jenkins,,WV,R
K000386,John,Katko,,NY,R
K000388,Trent,Kelly,,MS,R
K000387,Steve,Knight,,CA,R
L000585,Darin,LaHood,M.,IL,R
L000581,Brenda,Lawrence,,MI,D
L000582,Ted,Lieu,,CA,D
L000583,Barry,Loudermilk,,GA,R
L000584,Mia,Love,,UT,R
M001193,Tom,MacArthur,,NJ,R
M001197,Martha,McSally,,AZ,R
M001194,John,Moolenaar,,MI,R
M001195,Alex,Mooney,,WV,R
M001196,Seth,Moulton,,MA,D
N000189,Dan,Newhouse,,WA,R
P000609,Gary,Palmer,,AL,R
P000610,Stacey,Plaskett,,VI,D
P000611,Bruce,Poliquin,,ME,R
R000600,Amata,Radewagen,Coleman,AS,R
R000601,John,Ratcliffe,,TX,R
R000602,Kathleen,Rice,,NY,D
R000603,David,Rouzer,,NC,R
R000604,Steve,Russell,,OK,R
S001196,Elise,Stefanik,,NY,R
T000474,Norma,Torres,,CA,D
T000475,Dave,Trott,,MI,R
W000819,Mark,Walker,,NC,R
W000820,Mimi,Walters,,CA,R
W000822,Bonnie,Watson Coleman,,NJ,D
W000821,Bruce,Westerman,,AR,R
Y000066,David,Young,,IA,R
Z000017,Lee,Zeldin,,NY,R
E000295,Joni,Ernst,,IA,R
P000612,David,Perdue,,GA,R
R000605,Mike,Rounds,,SD,R
S001197,Ben,Sasse,,NE,R
S001198,Dan,Sullivan,,AK,R
T000476,Thom,Tillis,,NC,R
A000375,Jodey,Arrington,,TX,R
B001298,Don,Bacon,,NE,R
B001299,Jim,Banks,,IN,R
B001300,Nanette,Barragán,,CA,D
B001301,Jack,Bergman,,MI,R
B001302,Andy,Biggs,,AZ,R
B001303,Lisa,Blunt Rochester,,DE,D
B001304,Anthony,Brown,,MD,D
B001305,Ted,Budd,,NC,R
C001112,Salud,Carbajal,,CA,D
C001109,Liz,Cheney,,WY,R
C001110,J.,Correa,Luis,CA,D
C001111,Charlie,Crist,,FL,D
C001114,John,Curtis,,UT,R
D000627,Val,Demings,,FL,D
D000628,Neal,Dunn,,FL,R
E000297,Adriano,Espaillat,,NY,D
E000298,Ron,Estes,,KS,R
F000464,John,Faso,,NY,R
F000465,A.,Ferguson,Drew,GA,R
F000466,Brian,Fitzpatrick,,PA,R
G000578,Matt,Gaetz,,FL,R
G000579,Mike,Gallagher,,WI,R
G000580,Thomas,Garrett,,VA,R
G000584,Greg,Gianforte,,MT,R
G000585,Jimmy,Gomez,,CA,D
G000581,Vicente,Gonzalez,,TX,D
G000582,Jenniffer,González-Colón,,PR,R
G000583,Josh,Gottheimer,,NJ,D
H001078,Karen,Handel,,GA,R
H001077,Clay,Higgins,,LA,R
H001074,Trey,Hollingsworth,,IN,R
J000298,Pramila,Jayapal,,WA,D
J000299,Mike,Johnson,,LA,R
K000389,Ro,Khanna,,CA,D
K000390,Ruben,Kihuen,,NV,D
K000391,Raja,Krishnamoorthi,,IL,D
K000392,David,Kustoff,,TN,R
L000586,Al,Lawson,,FL,D
L000587,Jason,Lewis,,MN,R
M001198,Roger,Marshall,,KS,R
M001199,Brian,Mast,,FL,R
M001200,A.,McEachin,Donald,VA,D
M001201,Paul,Mitchell,,MI,R
M001202,Stephanie,Murphy,,FL,D
N000190,Ralph,Norman,,SC,R
O000171,Tom,O'Halleran,,AZ,D
P000613,Jimmy,Panetta,,CA,D
R000606,Jamie,Raskin,,MD,D
R000607,Francis,Rooney,,FL,R
R000608,Jacky,Rosen,,NV,D
R000609,John,Rutherford,,FL,R
S001199,Lloyd,Smucker,,PA,R
S001200,Darren,Soto,,FL,D
S001201,Thomas,Suozzi,,NY,D
T000477,Scott,Taylor,,VA,R
T000478,Claudia,Tenney,,NY,R
C001113,Catherine,Cortez Masto,,NV,D
H001075,Kamala,Harris,,CA,D
H001076,Margaret,Hassan,,NH,D
J000300,Doug,Jones,,AL,D
K000393,John,Kennedy,,LA,R
S001203,Tina,Smith,,MN,D